player,pos,team,category,severity,detail,source,asof,url
Jordan James,RB,SF,injury,high,Doubtful - Finger,nflverse-injury,2026-09-04T02:34:42.902Z,
Chris Godwin Jr.,WR,TB,injury,high,Out - Ankle,nflverse-injury,2026-09-04T02:34:42.902Z,
Kalel Mullings,RB,TEN,injury,medium,Questionable - Ankle,nflverse-injury,2026-09-04T02:34:42.902Z,
Baker Mayfield,QB,TB,headline,low,22 people with the most to gain (or lose) this NFL season: Barnwell on Mayfield; Pickens; Mannion; more,rss:espn,2026-09-04T02:10:39.000Z,https://www.espn.com/nfl/story/_/id/49784757/2026-nfl-season-players-coaches-gms-pressure-most-gain-lose
C.J. Stroud,QB,HOU,headline,low,22 people with the most to gain (or lose) this NFL season: Barnwell on Mayfield; Pickens; Mannion; more,rss:espn,2026-09-04T02:10:39.000Z,https://www.espn.com/nfl/story/_/id/49784757/2026-nfl-season-players-coaches-gms-pressure-most-gain-lose
C.J. Stroud,QB,HOU,headline,low,Which extension-eligible NFL players could be big factors next offseason?,rss:espn,2026-09-04T02:10:39.000Z,https://www.espn.com/nfl/story/_/id/49797170/nfl-player-extension-trade-free-agency
Cam Skattebo,RB,NYG,headline,low,Skattebo says he mulled retiring after '25 injury,rss:espn,2026-09-04T02:10:27.000Z,https://www.espn.com/nfl/story/_/id/49816937/giants-cam-skattebo-says-mulled-retiring-2025-injury
Michael Wilson,WR,ARI,headline,low,Sources: Cards WR Wilson gets $75M extension,rss:espn,2026-09-04T02:10:27.000Z,https://www.espn.com/nfl/story/_/id/49815820/sources-cardinals-wr-michael-wilson-agree-3-year-extension
Jake Ferguson,TE,DAL,headline,low,Sources: Cowboys open up $19M in cap space,rss:espn,2026-09-04T02:10:27.000Z,https://www.espn.com/nfl/story/_/id/49819676/sources-cowboys-restructure-deals-clark-bland-ferguson
Travis Kelce,TE,KC,headline,low,🏠 Travis Kelce buys $5.35M home before wedding,rss:espn,2026-09-04T02:10:27.000Z,https://www.espn.com/nfl/story/_/id/49804647/travis-kelce-taylor-swift-new-home-ohio
Jameson Williams,WR,DET,headline,low,Graziano's bold-but-realistic predictions for all 32 NFL teams: Don't be surprised if ...,rss:espn,2026-09-02T20:36:27.000Z,https://www.espn.com/nfl/story/_/id/49793475/2026-nfl-surprise-predictions-32-teams-stat-leaders-breakouts-fantasy-football
Xavier Worthy,WR,KC,headline,low,Graziano's bold-but-realistic predictions for all 32 NFL teams: Don't be surprised if ...,rss:espn,2026-09-02T20:36:27.000Z,https://www.espn.com/nfl/story/_/id/49793475/2026-nfl-surprise-predictions-32-teams-stat-leaders-breakouts-fantasy-football
Travis Hunter,WR,JAC,headline,low,Graziano's bold-but-realistic predictions for all 32 NFL teams: Don't be surprised if ...,rss:espn,2026-09-02T20:36:27.000Z,https://www.espn.com/nfl/story/_/id/49793475/2026-nfl-surprise-predictions-32-teams-stat-leaders-breakouts-fantasy-football
Geno Smith,QB,NYJ,headline,low,Geno Smith looking forward to writing comeback story for Act II in New York,rss:espn,2026-09-03T12:46:34.000Z,https://www.espn.com/nfl/story/_/id/49797721/new-york-jets-geno-smith-comeback-narrative
Kaleb Johnson,RB,PIT,headline,low,Grading NFL offseason trades: Sizing up RB Kaleb Johnson to the Packers,rss:espn,2026-09-03T12:47:34.000Z,https://www.espn.com/nfl/story/_/id/48915601/2026-nfl-offseason-trade-grades-best-worst-moves-training-camp-preseason
D'Andre Swift,RB,CHI,headline,low,NFL news; live updates: Bears' Rome Odunze; D'Andre Swift exit practice with injuries Thursday; WR Michael Wilson; Cardinals reportedly agree on 3-year extension,rss:yahoo,2026-08-20T14:37:14.000Z,https://sports.yahoo.com/nfl/live/nfl-news-injury-roster-updates-contract-extension-news-ahead-of-week-1-143714619.html
CeeDee Lamb,WR,DAL,headline,low,Stephen Jones: It will be "real difficult" to keep both George Pickens and CeeDee Lamb long term,rss:yahoo,2026-09-04T00:13:27.000Z,https://sports.yahoo.com/articles/stephen-jones-real-difficult-keep-001327638.html
George Pickens,WR,DAL,headline,low,Stephen Jones: It will be "real difficult" to keep both George Pickens and CeeDee Lamb long term,rss:yahoo,2026-09-04T00:13:27.000Z,https://sports.yahoo.com/articles/stephen-jones-real-difficult-keep-001327638.html
Chase Brown,RB,CIN,headline,low,Why the Bengals may choose not to extend DJ Turner; Dax Hill; or Chase Brown right now,rss:yahoo,2026-09-03T23:10:21.000Z,https://sports.yahoo.com/articles/why-bengals-may-choose-not-231021674.html
Tutu Atwell,WR,LAR,headline,low,Tutu Atwell on Rams return: I feel like I never left,rss:yahoo,2026-09-03T22:42:56.000Z,https://sports.yahoo.com/articles/tutu-atwell-rams-return-feel-224256513.html
Marquez Valdes-Scantling,WR,DAL,headline,low,Raiders work out 16 players; including OL Evan Neal; WR Marquez Valdes-Scantling,rss:yahoo,2026-09-03T22:42:41.000Z,https://sports.yahoo.com/articles/raiders-16-players-including-ol-224241773.html
D'Andre Swift,RB,CHI,headline,low,Bears' Rome Odunze; D'Andre Swift hurt at practice. Injury updates; what to know,rss:yahoo,2026-09-03T22:05:08.000Z,https://sports.yahoo.com/articles/bears-rome-odunze-dandre-swift-220508743.html
Rome Odunze,WR,CHI,headline,low,Bears' Rome Odunze; D'Andre Swift hurt at practice. Injury updates; what to know,rss:yahoo,2026-09-03T22:05:08.000Z,https://sports.yahoo.com/articles/bears-rome-odunze-dandre-swift-220508743.html
D'Andre Swift,RB,CHI,headline,low,Rome Odunze; D'Andre Swift left Bears practice early,rss:yahoo,2026-09-03T21:27:38.000Z,https://sports.yahoo.com/articles/rome-odunze-dandre-swift-left-212738386.html
Cade Klubnik,QB,NYJ,headline,low,Jets work out draft bust Will Levis after Titans release,rss:yahoo,2026-09-03T20:59:04.000Z,https://sports.yahoo.com/articles/jets-draft-bust-levis-titans-205904297.html
George Pickens,WR,DAL,headline,low,Mike Tomlin explains why Steelers traded George Pickens,rss:yahoo,2026-09-03T20:44:56.000Z,https://sports.yahoo.com/articles/mike-tomlin-explains-why-steelers-204456822.html
Kayshon Boutte,WR,HOU,headline,low,Kayshon Boutte takes Mike Vrabel's "inactive" comment in stride,rss:yahoo,2026-09-03T20:35:22.000Z,https://sports.yahoo.com/articles/kayshon-boutte-takes-mike-vrabels-203522411.html
Ty Simpson,QB,LAR,headline,low,Rams' depth chart lists Stetson Bennett as No. 2 QB; Ty Simpson No. 3,rss:yahoo,2026-09-03T20:17:31.000Z,https://sports.yahoo.com/articles/rams-depth-chart-lists-stetson-201731269.html
Jahmyr Gibbs,RB,DET,headline,low,NFL Offensive Player of the Year Odds: Jahmyr Gibbs Poised for a Career Year?,rss:yahoo,2026-09-03T19:46:00.000Z,https://sports.yahoo.com/articles/nfl-offensive-player-odds-nacua-183400310.html
Cam Skattebo,RB,NYG,headline,low,Giants' Cam Skattebo considered retirement after gruesome injury; explains relationship with John Harbaugh,rss:cbs,2026-09-03T22:56:57.000Z,https://www.cbssports.com/nfl/news/giants-cam-skattebo-says-he-considered-retirement/
Hunter Luepke,RB,DAL,headline,low,Cowboys' Von Miller secures desired No. 40 from teammate with rare compensation that could last a lifetime,rss:cbs,2026-09-03T21:48:49.000Z,https://www.cbssports.com/nfl/news/cowboys-von-miller-no-40-uniform-teammate-compensation/
Michael Wilson,WR,ARI,headline,low,Michael Wilson to sign massive extension: Why Cards made him one of NFL's top-paid No. 2 WRs,rss:cbs,2026-09-03T19:41:58.000Z,https://www.cbssports.com/nfl/news/cardinals-sign-michael-wilson-to-massive-extension/
Puka Nacua,WR,LAR,headline,low,Puka Nacua suspension watch: Will NFL discipline Rams star WR? How might a suspension impact L.A.?,rss:cbs,2026-09-04T00:43:10.000Z,https://www.cbssports.com/nfl/news/puka-nacua-suspension-watch-will-nfl-discipline-rams-star/
Quinshon Judkins,RB,CLE,headline,low,Browns DT Mike Hall addresses 'mishap on the field' with teammate Quinshon Judkins,rss:cbs,2026-09-03T16:26:32.000Z,https://www.cbssports.com/nfl/news/browns-mike-hall-addresses-mishap-quinshon-judkins/
Drake Maye,QB,NE,headline,low,Renner's 2027 NFL Draft scouting series: Arch Manning tops QB rankings; another passer draws Drake Maye comp,rss:cbs,2026-09-03T11:53:47.000Z,https://www.cbssports.com/nfl/draft/news/2027-nfl-draft-qb-rankings-arch-manning/
Justin Jefferson,WR,MIN,headline,low,2026 Minnesota Vikings betting preview; predictions: Four NFL player props to target before Week 1,rss:cbs,2026-09-03T03:19:23.000Z,https://www.cbssports.com/betting/news/2026-minnesota-vikings-betting-preview-predictions-four-nfl-player-props-to-target-before-week-1/
Fernando Mendoza,QB,LV,headline,low,Klint Kubiak names Kirk Cousins starter over No. 1 pick Fernando Mendoza,rss:cbs,2026-09-02T18:38:21.000Z,https://www.cbssports.com/nfl/news/klint-kubiak-names-kirk-cousins-starter-over-no-1-pick-fernando-mendoza/
Kirk Cousins,QB,LV,headline,low,Klint Kubiak names Kirk Cousins starter over No. 1 pick Fernando Mendoza,rss:cbs,2026-09-02T18:38:21.000Z,https://www.cbssports.com/nfl/news/klint-kubiak-names-kirk-cousins-starter-over-no-1-pick-fernando-mendoza/
Cam Skattebo,RB,NYG,headline,low,Agent's Take: Does Cam Skattebo need better advice after recent Giants antics?,rss:cbs,2026-09-02T18:27:57.000Z,https://www.cbssports.com/nfl/news/agents-take-cam-skattebos-giants/
Deshaun Watson,QB,CLE,headline,low,2026 NFL Comeback Player of Year trends; odds: Sportsbook rooting against Patrick Mahomes; Deshaun Watson,rss:cbs,2026-09-02T13:09:25.000Z,https://www.cbssports.com/betting/news/2026-nfl-comeback-player-of-year-trends-odds-sportsbook-rooting-against-patrick-mahomes-deshaun-watson/
Hunter Luepke,RB,DAL,headline,low,Von Miller gives Hunter Luepke "chicken for life" in exchange for No. 40,rss:pft,2026-09-04T02:01:15.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/von-miller-gives-hunter-luepke-chicken-for-life-in-exchange-for-no-40
CeeDee Lamb,WR,DAL,headline,low,Stephen Jones: It will be "real difficult" to keep both George Pickens and CeeDee Lamb long term,rss:pft,2026-09-04T00:13:27.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/stephen-jones-it-will-be-real-difficult-to-keep-both-george-pickens-and-ceedee-lamb-long-term
George Pickens,WR,DAL,headline,low,Stephen Jones: It will be "real difficult" to keep both George Pickens and CeeDee Lamb long term,rss:pft,2026-09-04T00:13:27.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/stephen-jones-it-will-be-real-difficult-to-keep-both-george-pickens-and-ceedee-lamb-long-term
Tutu Atwell,WR,LAR,headline,low,Tutu Atwell on Rams return: I feel like I never left,rss:pft,2026-09-03T22:42:56.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/tutu-atwell-on-rams-return-i-feel-like-i-was-never-gone
Marquez Valdes-Scantling,WR,DAL,headline,low,Raiders work out 16 players; including OL Evan Neal; WR Marquez Valdes-Scantling,rss:pft,2026-09-03T22:42:41.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/raiders-work-out-16-players-including-ol-evan-neal-wr-marquez-valdes-scantling
Marquez Valdes-Scantling,WR,DAL,headline,low,Cowboys release WR Marquez Valdes-Scantling,rss:pft,2026-08-30T19:26:41.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/cowboys-release-wr-marquez-valdes-scantling
Bryce Young,QB,CAR,headline,low,Bryce Young among the Panthers captains again,rss:pft,2026-09-03T21:54:00.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/bryce-young-among-the-panthers-captains-again
D'Andre Swift,RB,CHI,headline,low,Rome Odunze; D'Andre Swift left Bears practice early,rss:pft,2026-09-03T21:27:38.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/rome-odunze-dandre-swift-left-bears-practice-early
Kayshon Boutte,WR,HOU,headline,low,Kayshon Boutte takes Mike Vrabel's "inactive" comment in stride,rss:pft,2026-09-03T20:35:22.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/kayshon-boutte-takes-mike-vrabels-inactive-comment-in-stride
Garrett Wilson,WR,NYJ,headline,low,Geno Smith; Demario Davis; Minkah Fitzpatrick are among Jets captains; Garrett Wilson is not,rss:pft,2026-09-03T20:34:52.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/geno-smith-demario-davis-minkah-fitzpatrick-are-among-jets-captains-garrett-wilson-is-not
Ty Simpson,QB,LAR,headline,low,Rams' depth chart lists Stetson Bennett as No. 2 QB; Ty Simpson No. 3,rss:pft,2026-09-03T20:17:31.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/rams-depth-chart-lists-stetson-bennett-as-no-2-qb-ty-simpson-no-3
TreVeyon Henderson,RB,NE,headline,low,TreVeyon Henderson remains out of Patriots practice,rss:pft,2026-09-03T19:28:00.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/treveyon-henderson-remains-out-of-patriots-practice
Kyler Murray,QB,MIN,headline,low,Vikings name eight captains; including Kyler Murray,rss:pft,2026-09-03T19:22:31.000Z,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/vikings-name-eight-captains-including-kyler-murray
Kyler Murray,QB,MIN,headline,low,Vikings' Kyler Murray gets blunt reminder of what's at stake this season,rss:yardbarker,2026-09-03T20:46:37.000Z,https://www.yardbarker.com/nfl/articles/vikings_kyler_murray_gets_blunt_reminder_of_whats_at_stake_this_season/s1_13132_44255838
George Pickens,WR,DAL,headline,low,Cowboys' George Pickens told to 'prove it' this season,rss:yardbarker,2026-09-03T21:02:41.000Z,https://www.yardbarker.com/nfl/articles/cowboys_george_pickens_told_to_prove_it_this_season/s1_13132_44255871
Travis Hunter,WR,JAC,headline,low,Jaguars HC Liam Coen addresses plan for Travis Hunter on offense,rss:yardbarker,2026-09-03T21:36:06.000Z,https://www.yardbarker.com/nfl/articles/jaguars_hc_liam_coen_addresses_plan_for_travis_hunter_on_offense/s1_13132_44255878
Brock Purdy,QB,SF,headline,low,49ers' Brock Purdy may have found a goldmine in new teammate,rss:yardbarker,2026-09-04T01:20:46.000Z,https://www.yardbarker.com/nfl/articles/49ers_brock_purdy_may_have_found_a_goldmine_in_new_teammate/s1_13132_44256204
Ashton Jeanty,RB,LV,headline,low,Optimism about Raiders RB Ashton Jeanty's Week 1 status grows after Klint Kubiak's update,rss:yardbarker,2026-09-03T15:02:41.000Z,https://www.yardbarker.com/nfl/articles/optimism_about_raiders_rb_ashton_jeantys_week_1_status_grows_after_klint_kubiaks_update/s1_13132_44251021
Xavier Worthy,WR,KC,headline,low,Chiefs' Xavier Worthy may have revealed Patrick Mahomes' Week 1 status,rss:yardbarker,2026-09-03T12:40:26.000Z,https://www.yardbarker.com/nfl/articles/chiefs_xavier_worthy_may_have_revealed_patrick_mahomes_week_1_status/s1_13132_44253336
Joe Burrow,QB,CIN,headline,low,Bengals' Joe Burrow sends warning to NFL after Super Bowl talk,rss:yardbarker,2026-09-03T13:07:36.000Z,https://www.yardbarker.com/nfl/articles/bengals_joe_burrow_sends_warning_to_nfl_after_super_bowl_talk/s1_13132_44253594
Anthony Richardson Sr.,QB,IND,headline,low,Colts make major Anthony Richardson Sr. decision ahead of Week 1,rss:yardbarker,2026-09-03T16:02:46.000Z,https://www.yardbarker.com/nfl/articles/colts_make_major_anthony_richardson_sr_decision_ahead_of_week_1/s1_13132_44254482
Cam Skattebo,RB,NYG,headline,low,Giants' Cam Skattebo shares retirement revelation regarding gruesome injury,rss:yardbarker,2026-09-04T01:37:00.000Z,https://www.yardbarker.com/nfl/articles/giants_cam_skattebo_shares_retirement_revelation_regarding_gruesome_injury/s1_13132_44255172
C.J. Stroud,QB,HOU,headline,low,Texans' C.J. Stroud has seemingly made contract decision after Nick Caserio comments,rss:yardbarker,2026-09-02T14:40:25.000Z,https://www.yardbarker.com/nfl/articles/texans_cj_stroud_has_seemingly_made_contract_decision_after_nick_caserio_comments/s1_13132_44250217
Roschon Johnson,RB,CHI,trending,medium,trending added across leagues (Sleeper #1; 370256 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Jacob Saylors,RB,DET,trending,medium,trending added across leagues (Sleeper #2; 117420 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Malik Davis,RB,DAL,trending,medium,trending added across leagues (Sleeper #3; 71523 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Devaughn Vele,WR,NOS,trending,medium,trending added across leagues (Sleeper #4; 69300 moves),sleeper:add,2026-09-04T02:34:44.508Z,
MarShawn Lloyd,RB,GBP,trending,medium,trending added across leagues (Sleeper #5; 48528 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Darren Waller,TE,CAR,trending,medium,trending added across leagues (Sleeper #6; 43947 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Tre Tucker,WR,LVR,trending,medium,trending added across leagues (Sleeper #7; 41646 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Sione Vaki,RB,DET,trending,medium,trending added across leagues (Sleeper #8; 36379 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Caleb Douglas,WR,MIA,trending,low,trending added across leagues (Sleeper #11; 30560 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Dohnte Meyers,WR,CIN,trending,low,trending added across leagues (Sleeper #12; 29871 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Tank Dell,WR,HOU,trending,low,trending added across leagues (Sleeper #13; 29824 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Kaelon Black,RB,SFO,trending,low,trending added across leagues (Sleeper #14; 26614 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Zavion Thomas,WR,CHI,trending,low,trending added across leagues (Sleeper #15; 22203 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Justice Hill,RB,BAL,trending,low,trending added across leagues (Sleeper #16; 22023 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Kirk Cousins,QB,LVR,trending,low,trending added across leagues (Sleeper #17; 20864 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Emmett Johnson,RB,KCC,trending,low,trending added across leagues (Sleeper #19; 20106 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Odell Beckham,WR,NYG,trending,low,trending added across leagues (Sleeper #20; 18991 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Barion Brown,WR,NOS,trending,low,trending added across leagues (Sleeper #22; 17127 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Seth McGowan,RB,IND,trending,low,trending added across leagues (Sleeper #23; 16744 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Malik Washington,WR,MIA,trending,low,trending added across leagues (Sleeper #24; 16176 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Keaton Mitchell,RB,LAC,trending,low,trending added across leagues (Sleeper #25; 15390 moves),sleeper:add,2026-09-04T02:34:44.508Z,
Jaydon Blue,RB,DAL,trending,medium,trending dropped across leagues (Sleeper #1; 38872 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Alvin Kamara,RB,NOS,trending,medium,trending dropped across leagues (Sleeper #2; 24168 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Brenton Strange,TE,JAC,trending,medium,trending dropped across leagues (Sleeper #3; 23481 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Oronde Gadsden,TE,LAC,trending,medium,trending dropped across leagues (Sleeper #4; 23115 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Malik Davis,RB,DAL,trending,medium,trending dropped across leagues (Sleeper #5; 22068 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Emanuel Wilson,RB,SEA,trending,medium,trending dropped across leagues (Sleeper #6; 20421 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Tyreek Hill,WR,FA,trending,medium,trending dropped across leagues (Sleeper #7; 18984 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Kenyon Sadiq,TE,NYJ,trending,medium,trending dropped across leagues (Sleeper #8; 18738 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Isiah Pacheco,RB,DET,trending,medium,trending dropped across leagues (Sleeper #10; 17968 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Roschon Johnson,RB,CHI,trending,low,trending dropped across leagues (Sleeper #11; 17792 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Keaton Mitchell,RB,LAC,trending,low,trending dropped across leagues (Sleeper #12; 16830 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Jam Miller,RB,NEP,trending,low,trending dropped across leagues (Sleeper #13; 16488 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Jalen Nailor,WR,LVR,trending,low,trending dropped across leagues (Sleeper #14; 15831 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Cyrus Allen,WR,KCC,trending,low,trending dropped across leagues (Sleeper #15; 15258 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Jerry Jeudy,WR,CLE,trending,low,trending dropped across leagues (Sleeper #16; 14967 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Tank Bigsby,RB,PHI,trending,low,trending dropped across leagues (Sleeper #17; 14525 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Fernando Mendoza,QB,LVR,trending,low,trending dropped across leagues (Sleeper #18; 14352 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Travis Hunter,WR,JAC,trending,low,trending dropped across leagues (Sleeper #19; 14346 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Jordyn Tyson,WR,NOS,trending,low,trending dropped across leagues (Sleeper #20; 14104 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Josh Jacobs,RB,GBP,trending,low,trending dropped across leagues (Sleeper #21; 13810 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
J'Mari Taylor,RB,JAC,trending,low,trending dropped across leagues (Sleeper #22; 13626 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Omar Cooper Jr.,WR,NYJ,trending,low,trending dropped across leagues (Sleeper #23; 13592 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
Malik Washington,WR,MIA,trending,low,trending dropped across leagues (Sleeper #25; 13064 moves),sleeper:drop,2026-09-04T02:34:44.548Z,
